項次,相關的Solution,關鍵字,機關名稱,標案案號,標案名稱,傳輸次數,招標方式,採購性質,公告日期,截止投標,預算金額,詳細連結,機關代碼,單位名稱,機關地址,聯絡人,聯絡電話,電子郵件信箱,標的分類,採購金額級距,辦理方式,決標方式,招標狀態,開標時間,開標地點,是否訂有底價,履約地點
11,水情,下水道,苗栗縣政府,115089,「龍鳳排水分區雨水下水道新建工程」委託設計及監造技術服務,1,經公開評選或公開徵求之限制性招標,勞務類,115/05/08,115/05/15 17:00,"9,196,420元",https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMDY0MTY=,3.76.45,水利處下水道科,360 苗栗縣 苗栗市 縣府路100號,楊景翔,(037) 375907,karta206@ems.miaoli.gov.tw,勞務類 8672 - 工程服務,公告金額以上未達查核金額,自辦,準用最有利標,第一次限制性招標,115/05/18 10:00,360苗栗縣苗栗市縣府路100號本府第一辦公大樓4樓水利處下水道科會議室,是,苗栗縣(非原住民地區)
12,空氣品質,空氣品質,南投縣政府環境保護局,115-014-01,115年度南投縣空氣品質管理計畫,1,經公開評選或公開徵求之限制性招標,勞務類,115/05/08,115/05/21 17:00,"8,300,000元",https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMTQ2MzY=,3.76.48.3.6,空氣汙染防制科,540 南投縣 南投市 中興路660號,鄭汝真(採購內容)、楊逸婷(採購程序),(049) 2237530 #2220.1602,ntepb123@mail.ntepb.gov.tw,勞務類 94 - 污水及垃圾處理、公共衛生及其他環保服務,公告金額以上未達查核金額,自辦,準用最有利標,第一次限制性招標,115/05/22 10:00,本局3樓會議室(540南投縣南投市中興路660號C棟3樓),否,南投縣(非原住民地區)
13,班班（中小學）,冷氣,臺北市民族實驗國民中學,115006,115年度冷氣電改及能源管理系統(EMS)建置採購案,1,公開取得報價單或企劃書,財物類,115/05/12,115/05/12 17:00,"254,200元",https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMTUyMjY=,3.79.6.95,臺北市民族實驗國民中學,106 臺北市 大安區 羅斯福路四段113巷13號,蔡景雯,(02) 27322935 #232,t468@mtjh.tp.edu.tw,財物類 462 - 電力傳輸、控制設備及其零件,未達公告金額,自辦,參考最有利標精神,第一次公開取得,115/05/13 11:00,本校後棟2樓會議室,否,臺北市(非原住民地區)
14,班班（中小學）,冷氣,嘉義縣梅山鄉梅北國民小學,115-0506,梅北國小115年度改善國民中小學校園環境－冷氣設置電力改善工程,1,公開招標,工程類,115/05/08,115/05/12 17:00,"170,000元",https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMTQxNzM=,3.76.50.98.68,嘉義縣梅山鄉梅北國民小學,603 嘉義縣 梅山鄉 民生街1號,廖文銘,(05) 2626545,mbps@mail.cyc.edu.tw,工程類 5164 - 電力工程,未達公告金額,自辦,最低標,第一次公開招標,115/05/13 10:00,603嘉義縣梅山鄉民生街1號,是,嘉義縣(非原住民地區)
15,班班（中小學）,冷氣,高雄市立鹽埕國民中學,11502,體育館冷氣安裝額外項設備採購,1,公開取得報價單或企劃書,財物類,115/05/08,115/05/12 17:00,"698,400元",https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMTA3ODY=,3.97.5.61,總務處,803 高雄市 鹽埕區 新樂街46號,黃組長,(07) 5211283 #33,chen6565@kcg.gov.tw,財物類 4391 - 氣體產生器; 蒸餾設備; 冷凍及空調設備; 過濾機具,未達公告金額,自辦,參考最有利標精神,第一次公開取得,115/05/13 08:30,本校二樓小會議室（高雄市鹽埕區新樂街46號）,是,高雄市(非原住民地區)
16,班班（中小學）,EMS,臺北市民族實驗國民中學,115006,115年度冷氣電改及能源管理系統(EMS)建置採購案,1,公開取得報價單或企劃書,財物類,115/05/12,115/05/12 17:00,"254,200元",https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMTUyMjY=,3.79.6.95,臺北市民族實驗國民中學,106 臺北市 大安區 羅斯福路四段113巷13號,蔡景雯,(02) 27322935 #232,t468@mtjh.tp.edu.tw,財物類 462 - 電力傳輸、控制設備及其零件,未達公告金額,自辦,參考最有利標精神,第一次公開取得,115/05/13 11:00,本校後棟2樓會議室,否,臺北市(非原住民地區)
17,充電樁,充電,彰化縣埔心鄉公所,1150424,彰化縣埔心鄉公所115年度公務車(電動車含充電樁)採購案,2,公開招標,財物類,115/05/08,115/05/14 09:00,"1,950,000元",https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMTQ5MDU=,3.76.47.67,行政課,513 彰化縣 埔心鄉 義民村員鹿路2段344號,賴瑩禎,(04) 8296249 #23,psf05@puxin.chcg.gov.tw,"財物類 491 - 機動車, 拖車, 半拖車; 車輛機件",公告金額以上未達查核金額,自辦,最有利標,第二次及以後公開招標,115/05/14 11:00,埔心鄉公所三樓開標室,否,彰化縣(非原住民地區)
18,充電樁,充電,國立高科實驗高級中等學校,NEHS-KH-115B-02,115學年度iPadOS作業系統平板電腦及行動充電車財物採購案,1,公開取得報價單或企劃書,財物類,115/05/08,115/05/15 17:00,"935,000元",https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMTQ0ODM=,A.10.3J,國立高科實驗高級中等學校,811 高雄市 楠梓區 盛昌街161號,鄭兆伶,(07) 6120121 #402,a402@nehs.kh.edu.tw,財物類 452 - 計算機及其零件與配件,未達公告金額,自辦,最低標,第一次公開取得,115/05/18 10:00,國立高科實驗高級中等學校莊敬樓2樓會議室(高雄市楠梓區盛昌街161號),是,高雄市(非原住民地區)
19,充電樁,充電,台灣電力股份有限公司興達發電廠,3411500096,115年度興達電廠煤場充電機組及蓄電池組採購及安裝,2,公開招標,財物類,115/05/08,115/05/18 08:30,"13,230,000元",https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMTQzNzA=,3.13.31.40,台灣電力股份有限公司興達發電廠供應組,828 高雄市 永安區 鹽田里興達路六號,盧郁文,(07) 6912811 #3356,u650731@taipower.com.tw,財物類 469 - 其他電力設備及零件,公告金額以上未達查核金額,自辦,最低標,第二次及以後公開招標,115/05/18 13:30,828高雄市永安區鹽田里興達路六號開標室,是,高雄市(非原住民地區)
20,充電樁,停車,臺北市停車管理工程處,1153035,115年度臺北市路邊停車費委託金融機構及電信業者代扣繳案,1,公開招標,勞務類,115/05/11,115/06/09 17:00,"17,226,000元",https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMTQ1Njc=,3.79.53.9,營運科,110 臺北市 信義區 松德路300號6樓,蘇俐方,(02) 27590666 #6312,bw1082@gov.taipei,勞務類 865 - 管理顧問服務,巨額,自辦,最低標,第一次公開招標,115/06/10 14:00,110臺北市信義區松德路300號5樓第2會議室,是,臺北市(非原住民地區)
21,充電樁,停車,臺中市政府文化局,115039,臺中市屯區藝文中心停車場委託經營案,1,公開招標,勞務類,115/05/08,115/05/18 17:00,0元 預算金額為0理由：屬收入性質採購,https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMTUwMDg=,3.87.33,臺中市政府文化局,407 臺中市 西屯區 臺灣大道三段99號惠中樓8樓,周啓堯,(04) 23921122 #107,mormon0227@taichung.gov.tw,勞務類 97 - 其他服務,公告金額以上未達查核金額,自辦,最高標,第一次公開招標,115/05/19 10:40,407臺中市西屯區臺灣大道三段99號惠中樓8樓,是,臺中市(非原住民地區)
22,充電樁,停車,南投縣埔里鎮公所,115070,合成里大坪頂停車空間營造工程,1,公開招標,工程類,115/05/08,115/05/20 17:00,"19,900,000元",https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMDczMTI=,3.76.48.52,南投縣埔里鎮公所,545 南投縣 埔里鎮 中山路二段239號,吳秉叡,(049) 2984040 #137,bin037@mail.puli.gov.tw,工程類 5139 - 其他土木工程,公告金額以上未達查核金額,自辦,最低標,第一次公開招標,115/05/21 10:00,545南投縣埔里鎮中山路二段239號,是,南投縣(非原住民地區)
23,交通－ITS,號誌,新竹縣政府,1155300735,115年度交通號誌維修、新設工程（開口契約）,2,公開招標,工程類,115/05/08,115/05/13 09:00,"53,481,608元",https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMTQ2MjU=,3.76.44,交通處,302 新竹縣 竹北市 光明六路10號,曾小姐,(03) 5518101 #2798,tsengyw@hchg.gov.tw,工程類 5159 - 其他專業工程,查核金額以上未達巨額,自辦,最低標,第二次及以後公開招標,115/05/13 09:30,新竹縣政府開標室（新竹縣竹北市光明六路10號前棟1樓）,是,新竹縣(非原住民地區)
24,交通－ITS,路口,嘉義市政府,115149,115年度易肇事路口改善工程(開口契約),1,公開招標,工程類,115/05/08,115/05/18 09:50,"6,192,924元",https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMDk4NDI=,3.76.60,交通處,600 嘉義市 東區 中山路199號,交工科 游媖茹,(05) 2294581 #233,ying-ju@ems.chiayi.gov.tw,工程類 5139 - 其他土木工程,公告金額以上未達查核金額,自辦,最低標,第一次公開招標,115/05/18 10:30,嘉義市東區中山路199號本府7樓開標室,是,嘉義市(非原住民地區)
25,交通－ITS,交通,新竹縣政府,1155300735,115年度交通號誌維修、新設工程（開口契約）,2,公開招標,工程類,115/05/08,115/05/13 09:00,"53,481,608元",https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMTQ2MjU=,3.76.44,交通處,302 新竹縣 竹北市 光明六路10號,曾小姐,(03) 5518101 #2798,tsengyw@hchg.gov.tw,工程類 5159 - 其他專業工程,查核金額以上未達巨額,自辦,最低標,第二次及以後公開招標,115/05/13 09:30,新竹縣政府開標室（新竹縣竹北市光明六路10號前棟1樓）,是,新竹縣(非原住民地區)
26,CCTV,監視系統,新竹市政府,115A060,115年新竹漁港路燈修繕及監視系統設置工程,1,公開招標,工程類,115/05/08,115/05/18 17:00,"13,899,997元",https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMTUxOTI=,3.76.58,產業發展處,300 新竹市 北區 中正路120號,陳淮岷,(03) 5216121 #382,04898@ems.hccg.gov.tw,工程類 5169 - 其他安裝工程,公告金額以上未達查核金額,自辦,最低標,第一次公開招標,115/05/19 10:30,300新竹市中正路120號本府開標中心,是,新竹市(非原住民地區)
27,CCTV,監視系統,新竹市政府,115A059,115年新竹漁港路燈修繕及監視系統設置工程委託監造服務,1,公開取得報價單或企劃書,勞務類,115/05/08,115/05/18 17:00,"575,255元",https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMTQ3NDc=,3.76.58,產業發展處,300 新竹市 北區 中正路120號,陳淮岷,(03) 5324900 #382,04898@ems.hccg.gov.tw,勞務類 522 - 土木工程施工服務,未達公告金額,自辦,參考最有利標精神,第一次公開取得,115/05/19 10:30,300新竹市中正路120號本府開標中心,是,新竹市(非原住民地區)
28,CCTV,偵測,交通部高速公路局北區養護工程分局,115B120P018,115-116年度國道1號高架路段濃霧偵測系統巡查維護及後續擴充工作,2,公開招標,勞務類,115/05/08,115/05/14 10:00,"9,502,303元",https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMTUxMjE=,3.15.28.1,交通部高速公路局北區養護工程分局,114 臺北市 內湖區 成功路二段193巷12號,吳孟育,(02) 27936555 #2314,dariuswu@freeway.gov.tw,勞務類 522 - 土木工程施工服務,查核金額以上未達巨額,自辦,最低標,第二次及以後公開招標,115/05/14 14:00,114臺北市內湖區成功路2段193巷12號開標室,是,桃園市(非原住民地區)
29,CCTV,偵測,臺北市政府環境保護局環保稽查大隊,A11510,攜帶式五用氣體偵測器採購案,1,公開取得報價單或企劃書,財物類,115/05/08,115/05/13 17:00,"207,900元",https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMTQzNzE=,3.79.15.6,臺北市政府環境保護局環保稽查大隊,103 臺北市 大同區 重慶北路3段347號4樓,呂小姐/簡先生,(02) 25923600 #319/285,ep4456@gov.taipei,財物類 482 - 做為測量、檢查、航行及其他目的用之儀器和裝置，除光學儀器; 工業程序控制設備; 上述各項之零件及附件,未達公告金額,自辦,最低標,第一次公開取得,115/05/14 10:00,103臺北市大同區重慶北路3段347號4樓會議室,是,臺北市(非原住民地區)
30,CCTV,偵測,勞動部勞動力發展署桃竹苗分署,115Y091,115年防爆型氣體偵測器(乙炔)及警報遮斷系統設置,2,公開取得報價單或企劃書,財物類,115/05/08,115/05/21 17:00,"171,150元",https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMTQwODc=,A.17.2.2,秘書室,326 桃園市 楊梅區 秀才路八五一號,鐘先生(需求)/王先生(採購),(03) 4855368 #1631/2126,nb6596@wda.gov.tw,財物類 482 - 做為測量、檢查、航行及其他目的用之儀器和裝置，除光學儀器; 工業程序控制設備; 上述各項之零件及附件,未達公告金額,自辦,參考最有利標精神,第二次及以後公開取得,115/05/22 10:00,326桃園市楊梅區秀才路八五一號行政大樓4樓402會議室,是,桃園市(非原住民地區)
31,CCTV,偵測,國防部陸軍司令部,GM15127P127,偵測室總成報廢處理,4,公開取得報價單或企劃書,勞務類,115/05/08,115/05/12 17:00,"1,490,112元",https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMTQwNDU=,3.5.47,陸軍兵工整備發展中心,552 南投縣 集集鎮 龍泉巷15號,招標組江士官長,(049) 2781711,armyordcpas@mail.mil.tw,勞務類 94 - 污水及垃圾處理、公共衛生及其他環保服務,未達公告金額,自辦,最低標,第二次及以後公開取得,115/05/13 09:00,南投縣集集鎮龍泉巷13號開標室,是,南投縣(非原住民地區)
32,CCTV,錄影,臺灣高等法院花蓮分院,HLH115002,115年度法官宿舍監視錄影系統數位化財物採購案,1,公開取得報價單或企劃書,財物類,115/05/08,115/05/19 17:30,"700,000元",https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMTQwNTQ=,5.4.3,臺灣高等法院花蓮分院,970 花蓮縣 花蓮市 民權路127號,戴國安,(03) 8225116 #213,wispken@judicial.gov.tw,"財物類 483 - 光學儀器, 攝影設備及其零件與附件",未達公告金額,自辦,最低標,第一次公開取得,115/05/20 10:00,臺灣高等法院花蓮分院行政大樓二樓會議室（970花蓮縣花蓮市民權路127號）,是,花蓮縣(原住民地區)
33,CCTV,錄影,內政部警政署保安警察第一總隊,115SEC001,攝錄影暨剪輯設備採購案,1,公開取得報價單或企劃書,財物類,115/05/08,115/05/13 17:00,"595,000元",https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMTIzNzc=,3.1.1.12,秘書室,112 臺北市 北投區 立農街二段301號,王美惠,(02) 28225900,wa-875@1spc.npa.gov.tw,財物類 451 - 辦公室及會計機器，其零件及附件,未達公告金額,自辦,最低標,第一次公開取得,115/05/14 15:00,臺北市北投區立農街2段301號(第二行政大樓2樓開標室),是,臺北市(非原住民地區)
34,ESG－淨零及節能,能效,國立自然科學博物館,115ed01,科博館既有建築物能效標示申請案,1,公開取得報價單或企劃書,勞務類,115/05/08,115/05/14 17:00,"280,000元",https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMTQ4MTQ=,3.9.13,國立自然科學博物館,404 臺中市 北區 館前路1號,許技士/葉小姐,(04) 23226940 #730/708,d255@nmns.edu.tw,勞務類 8672 - 工程服務,未達公告金額,自辦,最低標,第一次公開取得,115/05/15 10:00,台中市北區館前路1號本館行政中心6樓工務科會議室(請由行政中心換證進入),是,臺中市(非原住民地區)
35,ESG－淨零及節能,能源,臺北市民族實驗國民中學,115006,115年度冷氣電改及能源管理系統(EMS)建置採購案,1,公開取得報價單或企劃書,財物類,115/05/12,115/05/12 17:00,"254,200元",https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMTUyMjY=,3.79.6.95,臺北市民族實驗國民中學,106 臺北市 大安區 羅斯福路四段113巷13號,蔡景雯,(02) 27322935 #232,t468@mtjh.tp.edu.tw,財物類 462 - 電力傳輸、控制設備及其零件,未達公告金額,自辦,參考最有利標精神,第一次公開取得,115/05/13 11:00,本校後棟2樓會議室,否,臺北市(非原住民地區)
36,ESG－淨零及節能,能源,光田醫療社團法人光田綜合醫院,ktgh-1150508-00115010033,大甲院區發電機組汰換與智慧能源管理系統建置,1,公開招標,財物類,115/05/08,115/05/21 17:00,"26,000,000元",https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMTQ1MTk=,45591655,光田醫療社團法人光田綜合醫院,433 臺中市 沙鹿區 向上路7段127號,李勝宏,(04) 26625111 #1417,ktgh.engineer@gmail.com,"財物類 461 - 電動機, 發電機, 變壓器及其附件",公告金額以上未達查核金額,補助,最有利標,第一次公開招標,115/05/21 17:30,433臺中市沙鹿區向上路7段127號,是,臺中市(非原住民地區)
37,ESG－淨零及節能,能源,台灣電力股份有限公司綜合研究所,5461500043,再生能源售電業購售業務精進策略1案,1,經公開評選或公開徵求之限制性招標,勞務類,115/05/08,115/05/21 17:00,"6,615,000元",https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMDkzMTU=,3.13.32.45,台灣電力股份有限公司綜合研究所,100 臺北市 中正區 羅斯福路4段198號,鄭文彥(規範問題請洽謝小姐02-23601256),(02) 23601363,u158360@taipower.com.tw,勞務類 85 - 研發服務,公告金額以上未達查核金額,自辦,準用最有利標,第一次限制性招標,115/05/22 13:30,100臺北市中正區羅斯福路4段198號,是,臺北市(非原住民地區)
38,ESG－淨零及節能,節能,高雄市前鎮區公所,A11510,竹西里115年度自然生態參訪暨節能減碳宣導活動,1,公開取得報價單或企劃書,勞務類,115/05/08,115/05/15 17:30,"359,000元",https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMTUyNjA=,3.97.59,高雄市前鎮區公所,806 高雄市 前鎮區 康定路151號2樓,蔡雅卉/王嘉琪,(07) 8215176 #268/219,wowyaya@kcg.gov.tw,勞務類 74 - 支援及輔助運輸服務,未達公告金額,自辦,參考最有利標精神,第一次公開取得,115/05/18 10:30,806高雄市前鎮區康定路151號2樓會議室,是,其他
39,ESG－淨零及節能,節能,高雄市前鎮區公所,A11511,瑞昌里115年度有鄰真好自然生態參訪暨節能減碳宣導活動,1,公開取得報價單或企劃書,勞務類,115/05/08,115/05/15 17:30,"539,800元",https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMTUyMTg=,3.97.59,高雄市前鎮區公所,806 高雄市 前鎮區 康定路151號2樓,蔡雅卉/陳秀玲,(07) 8215176 #268/252,wowyaya@kcg.gov.tw,勞務類 74 - 支援及輔助運輸服務,未達公告金額,自辦,參考最有利標精神,第一次公開取得,115/05/18 14:00,806高雄市前鎮區康定路151號2樓會議室,是,其他
40,ESG－淨零及節能,節能,高雄市前鎮區公所,115026,忠純里115年度自然生態參訪暨節能減碳宣導活動,1,公開取得報價單或企劃書,勞務類,115/05/08,115/05/15 17:30,"655,260元",https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMTQ4OTQ=,3.97.59,高雄市前鎮區公所,806 高雄市 前鎮區 康定路151號2樓,趙綠綺/許志銘,(07) 8215176 #204/230,green71@kcg.gov.tw,勞務類 74 - 支援及輔助運輸服務,未達公告金額,自辦,參考最有利標精神,第一次公開取得,115/05/18 09:00,806高雄市前鎮區康定路151號2樓會議室,是,其他
41,ESG－微電網及儲能,儲能,台灣中油股份有限公司,NEA151E002,綠能所-儲能材料之元素價態及拉曼成像分析檢測工作,2,公開招標,勞務類,115/05/08,115/05/14 17:00,"945,000元",https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMTQ3Nzk=,3.13.50,採購處南部採購中心採購二組,811 高雄市 楠梓區 左楠路2號,莊正弘,(07) 5824141 #2632,265543@cpc.com.tw,勞務類 8676 - 技術檢定與分析服務,未達公告金額,自辦,最低標,第二次及以後公開招標,115/05/15 10:00,南部採購中心開標室（地址：高雄市楠梓區左楠路二號）,是,其他
42,ESG－微電網及儲能,電網,嘉義縣政府,115QL274,Danas-F-02-04-08嘉義縣過溝國小、義竹國中、東石國小、蒜頭國小小型防災微電網建置計畫,1,公開招標,財物類,115/05/11,115/05/26 09:00,"71,175,000元",https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMTUwMzA=,3.76.50,經濟發展處,612 嘉義縣 太保市 祥和一路東段1號,產業發展科 黃馨慧,(05) 3620123 #8136,vivian@mail.cyhg.gov.tw,財物類 469 - 其他電力設備及零件,查核金額以上未達巨額,代辦,最有利標,第一次公開招標,115/05/26 10:00,本府開標室,否,嘉義縣(非原住民地區)
43,ESG－微電網及儲能,電網,嘉義縣政府,115QH272,「Danas-F-02-04-08嘉義縣過溝國小、義竹國中、東石國小、蒜頭國小小型防災微電網建置計畫」專案管理勞務採購案,1,經公開評選或公開徵求之限制性招標,勞務類,115/05/08,115/05/19 09:00,"1,825,000元",https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMTQ4MDY=,3.76.50,經濟發展處,612 嘉義縣 太保市 祥和一路東段1號,產業發展科 黃馨慧,(05) 3620123 #8136,vivian@mail.cyhg.gov.tw,勞務類 8673 - 綜合工程服務,公告金額以上未達查核金額,代辦,準用最有利標,第一次限制性招標,115/05/19 10:00,本府開標室,否,嘉義縣(非原住民地區)
